co_cli;cliente;ciudad;direccion_principal;direccion_temporal;latitud;longitud;corregida
296790280;GRUPO SANDOVAL AS C.A;CARACAS;AV PASEO LOS ILUSTRES EDIF CARIBANA PISO P.B. LOCAL NRO 6 URB VALLE ABAJO CARACAS DTTO CAPITAL;NULL;10.48530308;-66.89282632;NO
412573578;DESTILCORP C.A.;CARACAS;AV LA ESTANCIA CC CENTRO COMERCIAL CIUDAD TAMANACO CCCT NIVEL 13 OFC 1301 CHUAO CARACAS CHACAO EDO MIRANDA;NULL;10.48526162;-66.85518940;NO
309970267;AUTOMOVILES CENTROMARCA C.A.;CARACAS;AV PRINCIPAL LOS CORTIJOS ENTRE TRANS NEUMAN EDIF RODELAR PISO PB APT GRAL AD URB LOS CORTIJOS DE LOURDES CARACAS EDO MIRANDA;NULL;10.48494199;-66.82709009;NO
400660912;AUTO PARTES SAHARI 2012 C.A.;CARACAS;AV PRESIDENTE MEDINA  EDIF CENTRO AMERICA PISO PB LOCAL B URB LAS ACACIAS CARACAS DTTO CAPITAL;NULL;10.48482412;-66.89543608;NO
405824603;SERVI FLOTA DISTUCARACAS C.A.;CARACAS;AV EL ESTADIO CON AV LAS ACACIAS EDIF LA MONTA�A PISO PB LOCAL 01 URB LOS CHAGUARAMOS CARACAS DTTO CAPITAL;NULL;10.48451070;-66.88566818;NO
408242907;SERVIAUTO SUPREMO C.A.;CARACAS;AV CARONI EDIF MARI FRANK PISO PB LOCAL 2 URB COLINAS DE BELLO MONTE CARACAS;NULL;10.48447339;-66.87583314;NO
500976623;MULTISERVICIOS AUTOCAR HWY 21, C.A.;CARACAS;AV.CAURIMARE EDIF. RESIDENCIAS DAM PISO PB LOCAL B URB.COLINAS DE BELLO MONTE CARACAS MIRANDA;NULL;10.48443126;-66.87629288;NO
297099760;DISTRIBUIDORA MAURICAR 2009 C.A.;CARACAS;AV ESTADIO CON AV LAS COLINAS EDIF LA MONTA�A ISO PB LOCAL 1 URB LOS CHAGUARAMOS CARACAS DTTO CAPITAL;NULL;10.48440047;-66.88526489;NO
407807927;DISTRIBUIDORA GRALUVEN C.A.;CARACAS;CALLE PRINCIPAL DE LOS RUICES CON CALLE PASCUALE GIORGIO EDIF LANEX PISO PB LOCAL D ZONA LOS RUICES CARACAS EDO MIRANDA;NULL;10.48436876;-66.83096420;NO
500964633;CAUCHOS SUPER TUGA 2021 C.A.;CARACAS;AVENIDA LAS CIENCIAS CALLE CODAZZI QTA EL GUEA NRO 11-14 URB LOS CHAGUARAMOS CARACAS;NULL;10.48436050;-66.88776543;NO
